937.6	3.40465E-7	16.26063	1
11620	2.74716E-8	1.31205	250000
20697	1.54235E-8	0.73663	4800000
70130	4.55184E-9	0.2174	2.007E7
174800	1.8262E-9	0.08722	1.2E8
